"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File"
11956,"Gaussian","BinAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11963,"Chi2","BinAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11967,"Gaussian","Chi2AR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11974,"Chi2","Chi2AR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11978,"Gaussian","DAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11985,"Chi2","DAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11989,"Gaussian","PoDAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
11996,"Chi2","PoDAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-11996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
12000,"Gaussian","NAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-12000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
12007,"Chi2","NAR",100,0.4,30,0,1,"simulation-files/sim-files","sim_uSeed-12007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-1.rds"
13286,"Gaussian","BinAR",100,0.4,100,0,1,"simulation-files/sim-files","sim_uSeed-13286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-1.rds"
